team_id,team,conference,games,wins,losses,win_pct,avg_margin,ppg_for,ppg_against,pyth_win_pct,luck_overperformance,close_share_5,close_win_pct_5,close_games_5,close_wins_5,close_losses_5,adj_em
21,San Diego State Aztecs,Mountain West Conference,24.0,18.0,6.0,0.75,10.458333333333334,79.79166666666667,69.33333333333333,0.8341974804712309,-0.08419748047123088,0.25,0.5,6.0,3.0,3.0,10.458333333333334
58,South Florida Bulls,American Conference,26.0,18.0,8.0,0.6923076923076923,10.307692307692308,88.76923076923077,78.46153846153847,0.8052541738927164,-0.11294648158502407,0.23076923076923078,0.3333333333333333,6.0,2.0,4.0,10.307692307692308
333,Alabama Crimson Tide,Southeastern Conference,25.0,18.0,7.0,0.72,9.08,91.76,82.68,0.7682196407736727,-0.04821964077367269,0.2,0.8,5.0,4.0,1.0,9.08
275,Wisconsin Badgers,Big Ten Conference,25.0,18.0,7.0,0.72,8.08,83.68,75.6,0.7627385740052289,-0.04273857400522896,0.24,0.6666666666666666,6.0,4.0,2.0,8.08
2550,Seton Hall Pirates,Big East Conference,26.0,18.0,8.0,0.6923076923076923,6.6923076923076925,71.6923076923077,65.0,0.7552767308031649,-0.06296903849547264,0.2692307692307692,0.42857142857142855,7.0,3.0,4.0,6.6923076923076925
28,UC San Diego Tritons,Big West Conference,27.0,18.0,9.0,0.6666666666666666,6.037037037037037,76.33333333333333,70.29629629629629,0.7206105032163068,-0.05394383654964019,0.2962962962962963,0.375,8.0,3.0,5.0,6.037037037037037
25,California Golden Bears,Atlantic Coast Conference,26.0,18.0,8.0,0.6923076923076923,6.0,78.96153846153847,72.96153846153847,0.7127600996739251,-0.020452407366232772,0.23076923076923078,0.5,6.0,3.0,3.0,6.0
30,USC Trojans,Big Ten Conference,25.0,18.0,7.0,0.72,5.44,81.28,75.84,0.6892579522152055,0.0307420477847945,0.4,0.8,10.0,8.0,2.0,5.44
2561,Siena Saints,Metro Atlantic Athletic Conference,27.0,18.0,9.0,0.6666666666666666,4.888888888888889,71.0,66.11111111111111,0.6943308061577587,-0.027664139491092032,0.3333333333333333,0.5555555555555556,9.0,5.0,4.0,4.888888888888889
71,Bradley Braves,Missouri Valley Conference,27.0,18.0,9.0,0.6666666666666666,4.703703703703703,77.11111111111111,72.4074074074074,0.6734423590020192,-0.006775692335352579,0.1111111111111111,1.0,3.0,3.0,0.0,4.703703703703703
2523,Robert Morris Colonials,Horizon League,28.0,18.0,10.0,0.6428571428571429,4.428571428571429,78.07142857142857,73.64285714285714,0.6618536228710445,-0.01899648001390164,0.39285714285714285,0.45454545454545453,11.0,5.0,6.0,4.428571428571429
2514,Quinnipiac Bobcats,Metro Atlantic Athletic Conference,28.0,18.0,10.0,0.6428571428571429,4.071428571428571,75.5,71.42857142857143,0.6541879167665698,-0.011330773909426939,0.14285714285714285,0.5,4.0,2.0,2.0,4.071428571428571
2771,Merrimack Warriors,Metro Atlantic Athletic Conference,27.0,18.0,9.0,0.6666666666666666,1.7037037037037037,68.37037037037037,66.66666666666667,0.5720442187652647,0.09462244790140195,0.14814814814814814,0.75,4.0,3.0,1.0,1.7037037037037037
61,Georgia Bulldogs,Southeastern Conference,25.0,17.0,8.0,0.68,11.96,90.32,78.36,0.8366514449596794,-0.1566514449596793,0.32,0.625,8.0,5.0,3.0,11.96
245,Texas A&M Aggies,Southeastern Conference,25.0,17.0,8.0,0.68,11.24,89.8,78.56,0.8231456401699211,-0.14314564016992104,0.28,0.5714285714285714,7.0,4.0,3.0,11.24
300,UC Irvine Anteaters,Big West Conference,26.0,17.0,9.0,0.6538461538461539,9.653846153846153,77.65384615384616,68.0,0.8215176658751746,-0.16767151202902075,0.2692307692307692,0.42857142857142855,7.0,3.0,4.0,9.653846153846153
96,Kentucky Wildcats,Southeastern Conference,25.0,17.0,8.0,0.68,9.48,81.64,72.16,0.8052576389728786,-0.12525763897287856,0.24,0.6666666666666666,6.0,4.0,2.0,9.48
84,Indiana Hoosiers,Big Ten Conference,26.0,17.0,9.0,0.6538461538461539,9.0,80.34615384615384,71.34615384615384,0.796766977211064,-0.1429208233649102,0.11538461538461539,1.0,3.0,3.0,0.0,9.0
2534,Sam Houston Bearkats,Conference USA,25.0,17.0,8.0,0.68,9.0,82.96,73.96,0.7892803177713181,-0.10928031777131808,0.16,0.75,4.0,3.0,1.0,9.0
2567,SMU Mustangs,Atlantic Coast Conference,25.0,17.0,8.0,0.68,8.64,86.2,77.56,0.7711137942656192,-0.09111379426561916,0.28,0.42857142857142855,7.0,3.0,4.0,8.64
2382,Mercer Bears,Southern Conference,27.0,17.0,10.0,0.6296296296296297,8.62962962962963,82.88888888888889,74.25925925925925,0.7797642926096983,-0.1501346629800686,0.14814814814814814,0.25,4.0,1.0,3.0,8.62962962962963
2287,Illinois State Redbirds,Missouri Valley Conference,27.0,17.0,10.0,0.6296296296296297,8.296296296296296,76.37037037037037,68.07407407407408,0.7895942105541138,-0.15996458092448418,0.2962962962962963,0.375,8.0,3.0,5.0,8.296296296296296
2502,Portland State Vikings,Big Sky Conference,24.0,17.0,7.0,0.7083333333333334,8.0,77.75,69.75,0.7770717987607303,-0.06873846542739692,0.375,0.6666666666666666,9.0,6.0,3.0,8.0
